strong,ztjs,lbgd,Day,df_num
89,149,3,2026-07-01,15
82,138,3,2026-06-30,3
60,105,3,2026-06-29,14
40,60,6,2026-06-26,18
53,85,5,2026-06-25,7
53,98,4,2026-06-24,4
67,94,5,2026-06-23,22
79,132,5,2026-06-22,5
55,91,4,2026-06-18,6
56,85,3,2026-06-17,3
79,116,4,2026-06-16,7
83,144,3,2026-06-15,1
65,88,4,2026-06-12,37
44,69,3,2026-06-11,5
48,70,4,2026-06-10,8
71,127,3,2026-06-09,6
41,55,6,2026-06-08,5
55,71,5,2026-06-05,7
46,78,4,2026-06-04,7
46,66,3,2026-06-03,6
47,64,3,2026-06-02,4
69,118,4,2026-06-01,9
41,49,5,2026-05-29,26
60,101,4,2026-05-28,2
32,47,3,2026-05-27,8
39,46,3,2026-05-26,8
68,103,4,2026-05-25,9
73,115,3,2026-05-22,2
33,33,7,2026-05-21,37
52,61,8,2026-05-20,10
75,90,7,2026-05-19,8
57,81,6,2026-05-18,8
45,54,6,2026-05-15,7
45,54,5,2026-05-14,13
73,112,6,2026-05-13,2
48,57,5,2026-05-12,4
72,92,5,2026-05-11,5
70,97,4,2026-05-08,2
74,99,5,2026-05-07,1
75,100,4,2026-05-06,3
62,78,4,2026-04-30,8
66,99,3,2026-04-29,0
46,58,5,2026-04-28,3
58,65,4,2026-04-27,8
43,59,3,2026-04-24,7
40,50,5,2026-04-23,5
51,54,4,2026-04-22,2
43,53,4,2026-04-21,3
66,75,6,2026-04-20,3
56,69,7,2026-04-17,3
68,79,6,2026-04-16,2
46,57,5,2026-04-15,7
62,55,6,2026-04-14,2
49,59,5,2026-04-13,2
62,59,4,2026-04-10,2
41,53,5,2026-04-09,3
88,122,4,2026-04-08,3
68,93,7,2026-04-07,1
32,36,6,2026-04-03,7
31,27,5,2026-04-02,1
61,56,4,2026-04-01,8
35,53,4,2026-03-31,5
56,62,5,2026-03-30,3
66,78,4,2026-03-27,2
32,39,3,2026-03-26,8
87,84,8,2026-03-25,1
77,83,7,2026-03-24,0
27,28,6,2026-03-23,3
30,28,5,2026-03-20,13
28,28,4,2026-03-19,6
58,57,5,2026-03-18,1
34,39,4,2026-03-17,8
44,44,3,2026-03-16,6
41,59,5,2026-03-13,2
39,52,4,2026-03-12,2
45,53,4,2026-03-11,6
64,55,5,2026-03-10,2
40,42,4,2026-03-09,7
62,74,3,2026-03-06,0
57,68,2,2026-03-05,8
38,44,4,2026-03-04,5
56,76,3,2026-03-03,8
51,87,3,2026-03-02,5
63,75,7,2026-02-27,1
54,61,6,2026-02-26,3
70,75,5,2026-02-25,1
63,92,4,2026-02-24,2
35,32,5,2026-02-13,6
53,60,4,2026-02-12,2
45,51,4,2026-02-11,9
54,60,3,2026-02-10,4
74,83,5,2026-02-09,1
48,55,4,2026-02-06,6
40,44,4,2026-02-05,4
58,68,4,2026-02-04,6
70,69,4,2026-02-03,0
31,36,3,2026-02-02,3
47,48,5,2026-01-30,12
62,82,8,2026-01-29,9
53,80,7,2026-01-28,7
